,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Cabedelo,-6.9811,-34.8339,77.0,100,75,13.8,BR,1619798243
359,Atar,20.5169,-13.0499,93.22,15,5,10.27,MR,1619798244
360,Maţāy,28.419,30.7792,100.31,6,0,19.71,EG,1619798245
361,San-Pédro,4.7485,-6.6363,85.95,63,86,9.31,CI,1619798246
362,Lac du Bonnet,50.2536,-96.0612,48.0,74,96,3.0,CA,1619798246
363,Burnie,-41.0667,145.9167,54.0,92,19,1.99,AU,1619798248
364,Douala,4.0483,9.7043,89.6,66,40,11.5,CM,1619798042
365,Chake Chake,-5.2459,39.7666,78.26,83,100,8.46,TZ,1619798248
366,Bambanglipuro,-7.95,110.2833,77.4,89,68,4.14,ID,1619798249
367,Vilhena,-12.7406,-60.1458,80.91,46,33,5.26,BR,1619798129
368,Umluj,25.0213,37.2685,83.34,61,4,5.77,SA,1619798250
369,Asău,46.4333,26.4,75.2,38,40,8.05,RO,1619798250
370,Khuzhir,53.1939,107.3397,28.45,81,99,7.02,RU,1619798252
371,Ṭikāpur,28.5,81.1333,84.0,72,28,3.0,NP,1619798252
372,Chul'man,56.8479,124.9104,27.77,98,100,2.1,RU,1619798253
373,Hanzhong,33.0728,107.0303,66.11,61,0,1.52,CN,1619798254
374,Nioro,13.35,-15.75,102.81,14,18,7.31,GM,1619798254
375,Kamenka,51.3223,42.7678,49.68,80,100,13.22,RU,1619798255
376,Sierra Vista,31.5545,-110.3037,64.99,33,1,12.66,US,1619798255
377,Shelburne,44.0787,-80.2041,43.0,95,83,24.58,CA,1619798256
378,São Miguel do Araguaia,-13.275,-50.1628,84.34,59,100,5.23,BR,1619798258
379,Nanticoke,41.2054,-76.0049,60.01,79,51,3.0,US,1619798111
380,Catalina Foothills,32.2979,-110.9187,79.0,22,0,10.0,US,1619798260
381,Coolum Beach,-26.5333,153.1,64.0,99,100,3.0,AU,1619798261
382,Kuril'sk,45.2333,147.8833,35.65,93,100,13.98,RU,1619798263
383,Phan Thiet,10.9333,108.1,79.72,83,75,8.37,VN,1619798265
384,Hanyang,32.1371,105.5126,63.77,62,26,3.06,CN,1619798265
385,Jinchang,38.4953,102.1739,66.31,16,0,8.66,CN,1619798266
386,Idlib,35.9306,36.6339,78.8,36,0,19.57,SY,1619798267
387,Mount Isa,-20.7333,139.5,66.2,39,0,5.75,AU,1619798268
388,Messina,38.1933,15.5497,72.0,60,0,5.75,IT,1619798269
389,Lindi,-10.0,39.7167,82.4,78,20,10.36,TZ,1619798269
390,Hervey Bay,-25.2986,152.8535,64.99,92,100,1.01,AU,1619798270
391,Soe,-9.8607,124.284,66.94,91,77,4.63,ID,1619798270
392,Zlatibor,43.7168,19.7,71.6,33,0,8.05,RS,1619798272
393,Novopskov,49.5464,39.0899,57.31,85,79,9.73,UA,1619798274
394,Chincha Alta,-13.4099,-76.1323,71.01,78,7,8.05,PE,1619798236
395,Sola,-13.8833,167.55,81.16,74,100,19.1,VU,1619798275
396,Eston,51.1501,-108.7514,62.6,41,75,10.36,CA,1619798277
397,Belmonte,-15.8631,-38.8828,78.8,73,75,6.91,BR,1619798277
398,Brewster,41.3973,-73.6171,64.0,48,90,16.11,US,1619798278
399,Limoeiro do Ajuru,-1.8953,-49.3806,78.44,83,95,3.15,BR,1619798279
400,Nueva Gerona,21.8833,-82.8,85.93,55,1,10.74,CU,1619798279
401,Glendive,47.1053,-104.7125,59.0,47,1,10.36,US,1619798280
402,Gornopravdinsk,60.05,69.9,37.67,75,79,9.4,RU,1619798280
403,Severo-Yeniseyskiy,60.3725,93.0408,33.3,96,95,9.55,RU,1619798281
404,Praia,14.9215,-23.5087,78.8,53,75,20.71,CV,1619798281
405,Barcelos,41.5388,-8.6151,62.01,63,20,17.27,PT,1619798282
406,Te Anau,-45.4167,167.7167,39.94,93,24,1.32,NZ,1619798283
407,Alenquer,-1.9417,-54.7383,82.4,83,20,6.91,BR,1619798283
408,Krasnaya Gora,52.9995,31.6023,57.2,82,90,11.18,RU,1619798284
409,Pandamatenga,-18.5278,25.627,71.55,61,81,5.21,BW,1619798284
410,Yershov,51.3513,48.2766,54.23,51,96,8.39,RU,1619798285
411,Leningradskiy,69.3833,178.4167,12.9,93,90,15.39,RU,1619798285
412,Innisfail,-17.5333,146.0333,68.14,90,18,5.5,AU,1619798286
413,Flinders,-34.5833,150.8552,60.01,89,11,1.01,AU,1619798287
414,Lavrentiya,65.5833,-171.0,11.25,92,28,5.39,RU,1619798287
415,Escanaba,45.7453,-87.0646,46.0,42,75,17.27,US,1619798288
416,Morro Bay,35.3658,-120.8499,64.0,87,20,3.44,US,1619798289
417,Coahuayana Viejo,18.7333,-103.6833,64.4,82,90,4.61,MX,1619798290
418,Kenora,49.8167,-94.4337,39.2,38,20,3.44,CA,1619798290
419,Eldorado,-23.7869,-54.2836,79.29,31,2,10.58,BR,1619798291
420,Port Blair,11.6667,92.75,82.47,72,100,2.28,IN,1619798291
421,Vila Franca do Campo,37.7167,-25.4333,60.8,72,75,14.97,PT,1619798292
422,Kodinsk,58.6881,99.1844,34.5,94,76,6.24,RU,1619798292
423,Lüderitz,-26.6481,15.1594,68.13,49,0,26.51,NA,1619798293
424,Dakoro,14.5106,6.765,104.9,3,5,10.42,NE,1619798294
425,Majene,-3.5403,118.9707,77.86,87,97,3.96,ID,1619798295
426,Morón,-34.6534,-58.6198,72.0,58,0,5.99,AR,1619798295
427,Vardø,70.3705,31.1107,26.6,68,20,20.71,NO,1619798295
428,Anadyr,64.75,177.4833,17.6,86,75,8.95,RU,1619798015
429,Bonthe,7.5264,-12.505,87.75,60,96,13.73,SL,1619798296
430,Xining,36.6167,101.7667,55.89,21,1,1.3,CN,1619798296
431,Kampong Thom,12.7111,104.8887,80.22,81,94,7.45,KH,1619798297
432,Mogapi,-22.323,27.8349,70.95,60,46,4.88,BW,1619798297
433,San Benedetto del Tronto,42.9456,13.8816,70.0,61,16,5.99,IT,1619798298
434,Lata,40.1629,-8.3327,62.6,48,40,16.11,PT,1619798299
435,Lodwar,3.1191,35.5973,93.22,24,8,8.57,KE,1619798299
436,Blăgeşti,46.6833,26.65,75.2,38,40,8.05,RO,1619798300
437,Yagodnoye,62.55,149.6667,25.56,96,100,0.96,RU,1619798301
438,Laguna,38.421,-121.4238,66.0,55,75,8.05,US,1619798301
439,Rushden,52.2914,-0.5992,55.0,32,93,1.01,GB,1619798302
440,Lokvine,44.2047,17.8564,75.2,31,40,6.91,BA,1619798302
441,Sisimiut,66.9395,-53.6735,39.42,69,42,5.41,GL,1619798303
442,Williams Lake,52.1415,-122.1445,54.0,57,75,3.78,CA,1619798304
443,Kirakira,-10.4544,161.9205,78.46,87,100,7.18,SB,1619798304
444,Batagay-Alyta,67.8006,130.4114,18.61,99,78,3.09,RU,1619798305
445,Paamiut,61.994,-49.6678,38.32,77,3,9.26,GL,1619798169
446,Vallenar,-28.5708,-70.7581,70.48,41,31,4.43,CL,1619798306
447,Hambantota,6.1241,81.1185,78.8,100,75,2.3,LK,1619798306
448,Auch,43.65,0.5833,57.0,69,100,4.0,FR,1619798307
449,Luanda,-8.8368,13.2343,80.6,83,20,8.05,AO,1619798264
450,Westport,41.1415,-73.3579,64.0,50,64,1.99,US,1619798307
451,Minot,48.2325,-101.2963,48.2,37,90,13.8,US,1619798308
452,Kadayanallur,9.0833,77.35,82.65,75,89,2.82,IN,1619798308
453,Dorado,18.4588,-66.2677,82.4,69,40,17.27,PR,1619798309
454,Gatak,-7.5908,110.7044,75.33,92,60,4.05,ID,1619798310
455,Haines Junction,60.7522,-137.5108,35.6,75,100,1.14,CA,1619798311
456,Mumford,5.2618,-0.759,84.85,66,100,11.34,GH,1619798312
457,Raudeberg,61.9875,5.1352,45.0,60,10,20.6,NO,1619798312
458,Jensen Beach,27.2545,-80.2298,88.0,51,75,9.22,US,1619798092
459,Pacifica,37.6138,-122.4869,57.0,71,75,9.22,US,1619798313
460,Salalah,17.0151,54.0924,84.2,79,75,9.22,OM,1619798313
461,San Policarpo,12.1791,125.5072,79.56,76,22,4.14,PH,1619798314
462,Praia da Vitória,38.7333,-27.0667,62.6,94,20,1.57,PT,1619798315
463,Lobito,-12.3481,13.5456,82.51,74,96,7.52,AO,1619798315
464,Philadelphia,39.9523,-75.1638,66.0,45,75,18.41,US,1619798116
465,Wanaka,-44.7,169.15,45.82,87,87,0.85,NZ,1619798316
466,Gaza,31.5,34.4667,81.0,45,1,11.7,PS,1619798316
467,Port Shepstone,-30.7414,30.455,64.04,79,100,20.4,ZA,1619798317
468,Yeppoon,-23.1333,150.7333,66.2,77,75,6.91,AU,1619798317
469,Dalton,34.7698,-84.9702,69.01,56,1,10.36,US,1619798054
470,Trincomalee,8.5711,81.2335,84.45,71,27,4.94,LK,1619798318
471,San Vicente,-26.6167,-54.1333,75.74,29,1,4.56,AR,1619798319
472,College,64.8569,-147.8028,30.2,69,90,6.91,US,1619798191
473,Tazovsky,67.4667,78.7,31.89,95,100,10.42,RU,1619798320
474,Mandalī,33.7499,45.5541,90.86,15,7,10.29,IQ,1619798320
475,Mozarlândia,-14.7447,-50.5706,87.8,45,97,7.52,BR,1619798321
476,Xiongzhou,25.1167,114.3,67.55,74,56,3.15,CN,1619798321
477,Voh,-20.9667,164.7,69.75,75,80,4.88,NC,1619798321
478,Krujë,41.5092,19.7928,77.0,50,0,11.5,AL,1619798174
479,Moerai,-22.4333,-151.3333,77.41,85,98,15.84,PF,1619798322
480,Sept-Îles,50.2001,-66.3821,46.99,76,90,11.5,CA,1619798323
481,Turukhansk,65.8167,87.9833,36.88,78,100,15.61,RU,1619798323
482,Corrales,35.2378,-106.6067,64.0,33,0,0.69,US,1619798324
483,Meadow Lake,34.8014,-106.5436,66.0,33,1,11.5,US,1619798324
484,Portland,45.5234,-122.6762,57.0,71,75,6.91,US,1619798131
485,Kattivākkam,13.2167,80.3167,86.0,79,40,6.91,IN,1619798325
486,Puerto Suárez,-18.95,-57.8,80.6,69,15,3.44,BO,1619798326
487,Inta,66.0317,60.1659,32.5,74,63,10.31,RU,1619798326
488,Yei,4.095,30.6779,75.2,75,82,4.41,SS,1619798327
489,Kedrovyy,56.1667,91.8167,37.4,70,0,6.71,RU,1619798328
490,Akivīdu,16.6,81.3833,86.0,70,40,3.44,IN,1619798328
491,Soldotna,60.4878,-151.0583,35.6,93,90,5.32,US,1619798329
492,Saint-Joseph,-21.3667,55.6167,77.0,83,0,4.61,RE,1619798329
493,Evensk,61.95,159.2333,23.45,79,19,10.25,RU,1619798330
494,Spirit River,55.7833,-118.8361,55.0,54,0,25.32,CA,1619798331
495,Mount Gambier,-37.8333,140.7667,59.0,51,99,9.22,AU,1619798333
496,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,78.01,48,0,3.0,AR,1619798335
497,Salvacion,7.9833,126.1333,72.66,94,82,0.69,PH,1619798337
498,Cravo Norte,6.3017,-70.2041,72.81,91,100,3.74,CO,1619798339
499,Pervomayskoye,43.919,46.7102,57.33,70,0,14.97,RU,1619798340
500,Wad Rāwah,15.1603,33.1397,98.69,15,94,5.99,SD,1619798342
501,Itanhém,-17.1664,-40.33,78.24,65,98,12.19,BR,1619798344
502,Kuznechnoye,61.12,29.8686,44.01,46,56,3.29,RU,1619798346
503,Khani,41.9563,42.9566,59.0,82,75,14.97,GE,1619798348
504,Balikpapan,-1.2675,116.8289,76.77,86,100,1.74,ID,1619798350
505,Kailua,21.4022,-157.7394,73.4,73,20,8.05,US,1619798352
506,Grand Gaube,-20.0064,57.6608,78.01,82,9,7.0,MU,1619798354
507,Erzin,36.9559,36.2,72.0,69,5,5.99,TR,1619798356
508,Mandalgovi,45.7625,106.2708,39.42,52,54,5.3,MN,1619798356
509,Giżycko,54.0381,21.7644,47.01,85,93,10.56,PL,1619798358
510,Tairua,-37.0167,175.85,57.99,88,94,3.0,NZ,1619798360
511,Doha,25.2867,51.5333,89.01,42,0,2.3,QA,1619798361
512,Bahía Blanca,-38.7196,-62.2724,73.72,34,0,17.76,AR,1619798363
513,Henties Bay,-22.116,14.2845,62.01,82,0,5.99,NA,1619798365
514,Karpathos,35.507,27.2132,75.2,69,0,1.21,GR,1619798365
515,Erenhot,43.6475,111.9767,43.29,23,0,10.18,CN,1619798366
516,Atbasar,51.8,68.3333,49.93,46,45,10.07,KZ,1619798366
517,Bukama,-9.2,25.85,77.79,81,76,2.64,CD,1619798168
518,Liptovský Hrádok,49.0396,19.7234,63.0,48,20,11.5,SK,1619798367
519,Les Cayes,18.2,-73.75,83.57,61,27,9.08,HT,1619798367
520,Kurush,41.2841,47.8345,71.6,53,20,6.91,RU,1619798368
521,Hauterive,46.0901,3.4459,55.4,71,75,6.91,FR,1619798369
522,Bluffton,32.2371,-80.8604,82.99,54,1,6.91,US,1619798244
523,Esso,55.9333,158.7,31.01,94,96,2.71,RU,1619798369
524,Neuquén,-38.9516,-68.0591,60.8,63,0,8.05,AR,1619798357
525,Ayan,56.45,138.1667,30.33,97,100,14.23,RU,1619798370
526,Maumere,-8.6199,122.2111,79.9,81,47,2.46,ID,1619798370
527,Ambilobe,-13.2,49.05,76.48,88,50,2.15,MG,1619798371
528,Lavras,-21.2453,-44.9997,72.41,48,68,8.68,BR,1619798120
529,South Kazakhstan Region,43.0,68.0,61.27,56,2,13.15,KZ,1619798372
530,Mae Sai,20.4335,99.8762,75.2,100,20,2.3,TH,1619798372
531,Rameswaram,9.2833,79.3,86.09,72,3,14.54,IN,1619798373
532,Fort Carson,38.7375,-104.7889,68.0,31,1,4.09,US,1619798373
533,Douentza,14.9951,-2.9517,107.83,10,26,6.26,ML,1619798374
534,Beringovskiy,63.05,179.3167,19.11,87,81,5.95,RU,1619798374
535,Yumen,40.2833,97.2,68.49,9,56,9.8,CN,1619798375
536,Olinda,-8.0089,-34.8553,77.0,83,75,11.5,BR,1619798376
537,Ivankiv,50.9386,29.8943,62.6,82,100,4.47,UA,1619798376
538,Ol'ga,43.7444,135.2892,36.21,92,38,4.14,RU,1619798377
539,Pacific Grove,36.6177,-121.9166,55.4,76,20,4.61,US,1619798378
540,La Rioja,42.25,-2.5,53.6,71,75,8.05,ES,1619798378
541,Kholmsk,47.0511,142.0569,32.0,100,75,29.08,RU,1619798379
542,Soure,-0.7167,-48.5233,80.65,77,83,6.6,BR,1619798379
543,Isla Mujeres,21.2311,-86.731,84.2,65,40,17.27,MX,1619798380
544,Lashio,22.9333,97.75,67.37,84,67,1.48,MM,1619798381
545,Reporoa,-38.4333,176.35,53.01,86,47,1.01,NZ,1619798383
546,Port Hardy,50.6996,-127.4199,48.2,100,75,4.61,CA,1619798383
547,Nizwá,22.9333,57.5333,78.73,41,69,3.91,OM,1619798384
548,Cap Malheureux,-19.9842,57.6142,78.01,82,10,7.0,MU,1619798385
549,Bubaque,11.2833,-15.8333,79.39,67,64,19.73,GW,1619798385
550,Ugoofaaru,5.6667,73.0,84.15,72,65,5.17,MV,1619798385
551,Luau,-10.7073,22.2247,71.37,83,93,0.45,AO,1619798386
552,Pueblo Nuevo,23.3833,-105.3833,66.52,22,0,6.06,MX,1619798386
553,Jizan,17.3333,42.6667,89.6,62,20,12.66,SA,1619798360
554,Marsh Harbour,26.5412,-77.0636,78.94,67,8,11.23,BS,1619798387
555,Ust'-Ilimsk,58.0006,102.6619,35.91,98,100,6.08,RU,1619798388
556,Hay River,60.8156,-115.7999,33.8,100,90,4.61,CA,1619798388
557,Acapulco de Juárez,16.8634,-99.8901,80.6,74,75,6.91,MX,1619798352
558,Orikum,40.3253,19.4714,72.54,57,75,18.1,AL,1619798389
559,Kyrylivka,46.3759,35.3675,55.76,83,74,5.86,UA,1619798389
560,Port Hedland,-20.3167,118.5667,73.4,83,0,3.44,AU,1619798390
561,Dombarovskiy,50.7587,59.5386,49.84,51,31,7.02,RU,1619798391
562,Yangi Marg`ilon,40.4272,71.7189,75.2,27,82,18.41,UZ,1619798391
563,Verkh-Chebula,56.0308,87.6218,43.61,71,24,7.16,RU,1619798392
